keyword,body_part,severity_weight,common_causes,contraindicated_exercises,recommended_alternatives,recovery_time_days,requires_medical_attention,prevention_tips,immediate_action
knee pain,knee,0.5,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",3,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
knee ache,knee,0.44,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",6,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
patella pain,knee,0.44,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",5,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
kneecap pain,knee,0.57,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",7,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
runner's knee,knee,0.54,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",4,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
jumper's knee,knee,0.48,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",6,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
knee strain,knee,0.74,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",8,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Stop activity, rest, apply ice, monitor symptoms"
knee stiffness,knee,0.36,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",3,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
knee swelling,knee,0.46,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",6,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
meniscus pain,knee,0.44,"overuse, poor form, weak glutes, tight IT band, inadequate warm-up","squats,lunges,jumping,running,leg_press,step_ups","upper_body_exercises,seated_exercises,swimming,cycling",4,False,"Strengthen glutes and quads, improve flexibility, proper footwear","Reduce intensity, gentle stretching, monitor symptoms"
back pain,lower_back,0.31,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",4,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
lower back pain,lower_back,0.56,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",3,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
lumbar pain,lower_back,0.51,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",4,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
spine pain,lower_back,0.53,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",4,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
sciatica,lower_back,0.38,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",5,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
back strain,lower_back,0.66,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",7,False,"Strengthen core, improve posture, proper lifting technique","Stop activity, rest, apply ice, monitor symptoms"
back stiffness,lower_back,0.58,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",5,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
herniated disc,lower_back,0.58,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",7,False,"Strengthen core, improve posture, proper lifting technique","Reduce intensity, gentle stretching, monitor symptoms"
muscle spasm,lower_back,0.92,"poor posture, weak core, tight hip flexors, heavy lifting, poor form","deadlifts,rows,heavy_lifting,sit_ups,good_mornings","core_strengthening,gentle_stretching,walking,swimming",23,True,"Strengthen core, improve posture, proper lifting technique","Stop activity immediately, apply ice, seek medical attention"
shoulder pain,shoulder,0.57,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",6,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Reduce intensity, gentle stretching, monitor symptoms"
shoulder ache,shoulder,0.3,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",4,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Reduce intensity, gentle stretching, monitor symptoms"
rotator cuff pain,shoulder,0.47,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",3,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Reduce intensity, gentle stretching, monitor symptoms"
shoulder impingement,shoulder,0.35,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",5,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Reduce intensity, gentle stretching, monitor symptoms"
frozen shoulder,shoulder,0.4,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",4,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Reduce intensity, gentle stretching, monitor symptoms"
shoulder strain,shoulder,0.75,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",10,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Stop activity, rest, apply ice, monitor symptoms"
deltoid pain,shoulder,0.46,"overhead activities, poor posture, muscle imbalances, overuse","overhead_press,lateral_raises,bench_press,pull_ups","lower_body_exercises,core_exercises,gentle_arm_movements",7,False,"Improve posture, strengthen rotator cuff, avoid overhead overuse","Reduce intensity, gentle stretching, monitor symptoms"
neck pain,neck,0.57,"poor posture, stress, sleeping position, heavy lifting","overhead_press,upright_rows,heavy_lifting,shrugs","lower_body_exercises,gentle_neck_stretches,posture_exercises",7,False,"Improve posture, manage stress, proper pillow support","Reduce intensity, gentle stretching, monitor symptoms"
cervical pain,neck,0.42,"poor posture, stress, sleeping position, heavy lifting","overhead_press,upright_rows,heavy_lifting,shrugs","lower_body_exercises,gentle_neck_stretches,posture_exercises",6,False,"Improve posture, manage stress, proper pillow support","Reduce intensity, gentle stretching, monitor symptoms"
neck strain,neck,0.71,"poor posture, stress, sleeping position, heavy lifting","overhead_press,upright_rows,heavy_lifting,shrugs","lower_body_exercises,gentle_neck_stretches,posture_exercises",14,False,"Improve posture, manage stress, proper pillow support","Stop activity, rest, apply ice, monitor symptoms"
neck stiffness,neck,0.39,"poor posture, stress, sleeping position, heavy lifting","overhead_press,upright_rows,heavy_lifting,shrugs","lower_body_exercises,gentle_neck_stretches,posture_exercises",4,False,"Improve posture, manage stress, proper pillow support","Reduce intensity, gentle stretching, monitor symptoms"
whiplash,neck,0.39,"poor posture, stress, sleeping position, heavy lifting","overhead_press,upright_rows,heavy_lifting,shrugs","lower_body_exercises,gentle_neck_stretches,posture_exercises",6,False,"Improve posture, manage stress, proper pillow support","Reduce intensity, gentle stretching, monitor symptoms"
neck spasm,neck,0.89,"poor posture, stress, sleeping position, heavy lifting","overhead_press,upright_rows,heavy_lifting,shrugs","lower_body_exercises,gentle_neck_stretches,posture_exercises",21,True,"Improve posture, manage stress, proper pillow support","Stop activity immediately, apply ice, seek medical attention"
leg,leg,0.5,"overuse, strain","squats,lunges,jumping,running,leg_press","upper_body_exercises,seated_exercises,swimming",4,False,Rest and elevate,"Reduce intensity, gentle stretching"
sick,general,0.6,illness,"heavy_lifting,high_intensity_cardio","light_walking,yoga,stretching",3,False,Hydration and sleep,"Stop intense activity, rest"
not feeling well,general,0.6,illness,"heavy_lifting,high_intensity_cardio","light_walking,yoga,stretching",3,False,Hydration and sleep,"Stop intense activity, rest"
tired,general,0.4,fatigue,"heavy_lifting,high_intensity_cardio","light_walking,yoga,stretching",1,False,Sleep and nutrition,Reduce intensity or rest
exhausted,general,0.7,fatigue,"heavy_lifting,high_intensity_cardio","light_walking,yoga,stretching",2,False,Sleep and nutrition,"Stop activity, complete rest"
foot,foot,0.5,overuse,"running,jumping,heavy_squats","swimming,cycling,upper_body",4,False,Proper footwear,Rest and elevate
arm,arm,0.5,overuse,"heavy_pressing,pull_ups","lower_body_exercises,core",4,False,Proper form,"Reduce intensity, gentle stretching"
