food_id,food_name,region,region_type,price_per_kg,currency,unit,last_updated,season,availability,quality_grade,is_organic,fitness_category,price_source
1,Alphonso Mango,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
2,Amaranth,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
3,Amaranth Leaves,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
4,Apple,Gujarat,state,130.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
5,Arhar Dal,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
6,Ash Gourd,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
7,Avocado,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
8,Banana,Gujarat,state,45.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
9,Barley,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
10,Basmati Rice,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
11,Beetroot,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
12,Bell Pepper,Gujarat,state,103.88,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
13,Bitter Gourd,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
14,Black Beans,Gujarat,state,141.15,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
15,Black Eyed Peas,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
16,Black Gram,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
17,Black Rice,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
18,Blackberry,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
19,Blueberry,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
20,Bottle Gourd,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
21,Broccoli,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
22,Brown Rice,Gujarat,state,82.94,INR,KG,2026-04-17,all_year,dynamic,standard,False,carbs,fallback_existing
23,Brussels Sprouts,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
24,Buffalo Milk,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
25,Buttermilk,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
26,Cabbage,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
27,Carrot,Gujarat,state,35.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
28,Catla,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
29,Cauliflower,Gujarat,state,35.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
30,Chana Dal,Gujarat,state,70.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,data_gov_alias
31,Cheddar,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
32,Chicken Breast,Gujarat,state,372.8,INR,KG,2026-04-17,all_year,dynamic,standard,False,protein,fallback_existing
33,Chicken Drumstick,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
34,Chicken Thigh,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
35,Chicken Wings,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
36,Chickpeas,Gujarat,state,70.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,data_gov_exact
37,Coconut,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
38,Cottage Cheese,Gujarat,state,324.88,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
39,Crab,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
40,Cream,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
41,Curd,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
42,Dates,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
43,Double Toned Milk,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
44,Dried Dates,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
45,Dried Figs,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
46,Duck Eggs,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
47,Egg Whites,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
48,Eggplant,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
49,Eggs,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,protein,fallback_existing
50,Fenugreek Leaves,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
51,Field Peas,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
52,Figs,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
53,Finger Millet,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
54,Fish,Gujarat,state,322.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,protein,fallback_existing
55,Garlic,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
56,Ghee,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
57,Ginger,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
58,Goat Meat,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
59,Grapes,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
60,Greek Yogurt,Gujarat,state,219.16,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
61,Green Chili,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
62,Green Gram,Gujarat,state,72.5,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
63,Green Grapes,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
64,Guava,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
65,Heavy Cream,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
66,Jasmine Rice,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
67,Khoya,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
68,Kidney Beans,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
69,Kiwi,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
70,Lamb,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
71,Lima Beans,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
72,Mackerel,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
73,Maida,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
74,Mango,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
75,Masoor Dal,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
76,Millet,Gujarat,state,50.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,data_gov_exact
77,Moong Dal,Gujarat,state,72.5,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
78,Mozzarella,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
79,Muskmelon,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
80,Mustard Greens,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
81,Mutton,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
82,Navy Beans,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
83,Oats,Gujarat,state,163.3,INR,KG,2026-04-17,all_year,dynamic,standard,False,carbs,fallback_existing
84,Okra,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
85,Onion,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
86,Orange,Gujarat,state,62.36,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
87,Paneer,Gujarat,state,419.8,INR,KG,2026-04-17,all_year,dynamic,standard,False,protein,fallback_existing
88,Papaya,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
89,Pearl Barley,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
90,Pearl Millet,Gujarat,state,50.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,data_gov_exact
91,Pineapple,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
92,Pinto Beans,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
93,Pomegranate,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
94,Pomfret,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
95,Potato,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
96,Prawns,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
97,Processed Cheese,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
98,Pumpkin,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
99,Quail Eggs,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
100,Quinoa,Gujarat,state,522.97,INR,KG,2026-04-17,all_year,dynamic,standard,False,carbs,fallback_existing
101,Radish,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
102,Raisins,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
103,Rajma,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
104,Rava,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
105,Red Rice,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
106,Ricotta,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
107,Ridge Gourd,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
108,Rohu,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
109,Salmon,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
110,Salted Butter,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
111,Sardines,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
112,Semolina,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
113,Shrimp,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
114,Skim Milk,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
115,Snake Gourd,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
116,Sorghum,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
117,Soybean,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
118,Spinach,Gujarat,state,41.5,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
119,Steel Cut Oats,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
120,Strawberry,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
121,Sweet Orange,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
122,Sweet Potato,Gujarat,state,46.8,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
123,Tender Coconut,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
124,Tomato,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
125,Toned Milk,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
126,Toor Dal,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
127,Tuna,Gujarat,state,120.0,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
128,Turnip,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
129,Urad Dal,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
130,Watermelon,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
131,Wheat Flour,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
132,White Butter,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
133,Whole Milk,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
134,Whole Wheat Flour,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
135,Yam,Gujarat,state,81.72,INR,KG,2026-04-17,all_year,dynamic,standard,False,general,fallback_existing
