id,name,category,subcategory,muscle_groups,equipment,difficulty,instructions,safety_notes,body_part,secondary_muscles,is_beginner_safe,requires_spotter,calories_per_minute,target_reps,target_sets,rest_time_seconds,progression_tips,common_mistakes
1,Push-ups,strength,chest,"chest,triceps,shoulders",bodyweight,intermediate,Perform push-ups using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,8,9-17,3,62,"Gradually increase intensity, reps, or weight for push-ups","Poor form, rushing through reps, inadequate warm-up"
2,Push-ups (cable),strength,chest,"chest,triceps,shoulders",cable,intermediate,Perform push-ups using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,6,11-16,2,100,"Gradually increase intensity, reps, or weight for push-ups","Poor form, rushing through reps, inadequate warm-up"
3,Bench Press,strength,chest,"chest,triceps,shoulders",bodyweight,intermediate,Perform bench press using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,8,9-17,2,106,"Gradually increase intensity, reps, or weight for bench press","Poor form, rushing through reps, inadequate warm-up"
4,Bench Press (cable),strength,chest,"chest,triceps,shoulders",cable,intermediate,Perform bench press using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,5,11-15,4,81,"Gradually increase intensity, reps, or weight for bench press","Poor form, rushing through reps, inadequate warm-up"
5,Incline Press,strength,chest,"chest,triceps,shoulders",bodyweight,intermediate,Perform incline press using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,4,9-16,2,95,"Gradually increase intensity, reps, or weight for incline press","Poor form, rushing through reps, inadequate warm-up"
6,Incline Press (dumbbell),strength,chest,"chest,triceps,shoulders",dumbbell,intermediate,Perform incline press using dumbbell with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,5,11-18,4,60,"Gradually increase intensity, reps, or weight for incline press","Poor form, rushing through reps, inadequate warm-up"
7,Incline Press (cable),strength,chest,"chest,triceps,shoulders",cable,intermediate,Perform incline press using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,8,8-15,4,99,"Gradually increase intensity, reps, or weight for incline press","Poor form, rushing through reps, inadequate warm-up"
8,Decline Press,strength,chest,"chest,triceps,shoulders",bodyweight,intermediate,Perform decline press using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,5,8-16,4,93,"Gradually increase intensity, reps, or weight for decline press","Poor form, rushing through reps, inadequate warm-up"
9,Decline Press (cable),strength,chest,"chest,triceps,shoulders",cable,intermediate,Perform decline press using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,8,12-18,2,102,"Gradually increase intensity, reps, or weight for decline press","Poor form, rushing through reps, inadequate warm-up"
10,Dumbbell Flyes,strength,chest,"chest,triceps,shoulders",bodyweight,intermediate,Perform dumbbell flyes using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,6,8-15,3,114,"Gradually increase intensity, reps, or weight for dumbbell flyes","Poor form, rushing through reps, inadequate warm-up"
11,Dumbbell Flyes (barbell),strength,chest,"chest,triceps,shoulders",barbell,advanced,Perform dumbbell flyes using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,chest,"core,stabilizers",False,False,7,12-19,4,73,"Gradually increase intensity, reps, or weight for dumbbell flyes","Poor form, rushing through reps, inadequate warm-up"
12,Dumbbell Flyes (machine),strength,chest,"chest,triceps,shoulders",machine,beginner,Perform dumbbell flyes using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,5,12-19,2,69,"Gradually increase intensity, reps, or weight for dumbbell flyes","Poor form, rushing through reps, inadequate warm-up"
13,Dumbbell Flyes (cable),strength,chest,"chest,triceps,shoulders",cable,intermediate,Perform dumbbell flyes using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,6,11-19,3,107,"Gradually increase intensity, reps, or weight for dumbbell flyes","Poor form, rushing through reps, inadequate warm-up"
14,Cable Crossovers,strength,chest,"chest,triceps,shoulders",bodyweight,intermediate,Perform cable crossovers using bodyweight with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,7,10-18,3,118,"Gradually increase intensity, reps, or weight for cable crossovers","Poor form, rushing through reps, inadequate warm-up"
15,Cable Crossovers (cable),strength,chest,"chest,triceps,shoulders",cable,intermediate,Perform cable crossovers using cable with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,7,8-15,3,70,"Gradually increase intensity, reps, or weight for cable crossovers","Poor form, rushing through reps, inadequate warm-up"
16,Dips (barbell),strength,chest,"chest,triceps,shoulders",barbell,advanced,Perform dips using barbell with proper form and controlled movement.,Warm up before exercising. Use proper form. Consider using a spotter.,chest,"core,stabilizers",False,False,6,12-18,3,65,"Gradually increase intensity, reps, or weight for dips","Poor form, rushing through reps, inadequate warm-up"
17,Dips (machine),strength,chest,"chest,triceps,shoulders",machine,beginner,Perform dips using machine with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",True,False,4,8-15,3,107,"Gradually increase intensity, reps, or weight for dips","Poor form, rushing through reps, inadequate warm-up"
18,Dips (kettlebell),strength,chest,"chest,triceps,shoulders",kettlebell,intermediate,Perform dips using kettlebell with proper form and controlled movement.,Warm up before exercising. Use proper form.,chest,"core,stabilizers",False,False,4,12-20,4,80,"Gradually increase intensity, reps, or weight for dips","Poor form, rushing through reps, inadequate warm-up"
